/Users/jel/anaconda/bin/python /Users/jel/Documents/Personal/PycharmProjects/Project2/project_2_lenet.py
Loading training_file="./train.p"
Loading testing_file="./test.p"
num_train=37248, num_valid=1961, num_test=12630, num_classes=43
BATCH_SIZE=64, EPOCHS=1000, steps_per_epoch=582, image_shape=1024
Epoch 99: Validation loss=0.1949, Validation accuracy=0.9781
Epoch 100: Validation loss=0.1977, Validation accuracy=0.9776
Epoch 101: Validation loss=0.1996, Validation accuracy=0.9776
Epoch 102: Validation loss=0.2429, Validation accuracy=0.9698
Epoch 103: Validation loss=0.2156, Validation accuracy=0.9745
Epoch 104: Validation loss=0.2141, Validation accuracy=0.9734
Epoch 105: Validation loss=0.2074, Validation accuracy=0.9766
Epoch 106: Validation loss=0.2075, Validation accuracy=0.9755
Epoch 107: Validation loss=0.2087, Validation accuracy=0.9766
Epoch 108: Validation loss=0.2096, Validation accuracy=0.9771
Epoch 109: Validation loss=0.2098, Validation accuracy=0.9771
Epoch 110: Validation loss=0.2163, Validation accuracy=0.9771
Epoch 111: Validation loss=0.2897, Validation accuracy=0.9672
Epoch 112: Validation loss=0.2265, Validation accuracy=0.9802
Epoch 113: Validation loss=0.2226, Validation accuracy=0.9786
Epoch 114: Validation loss=0.2351, Validation accuracy=0.9766
Epoch 115: Validation loss=0.2057, Validation accuracy=0.9776
Epoch 116: Validation loss=0.2836, Validation accuracy=0.9724
Epoch 117: Validation loss=0.2287, Validation accuracy=0.9766
Epoch 118: Validation loss=0.2104, Validation accuracy=0.9719
Epoch 119: Validation loss=0.2170, Validation accuracy=0.9771
Epoch 120: Validation loss=0.2247, Validation accuracy=0.9708
Epoch 121: Validation loss=0.2332, Validation accuracy=0.9755
Epoch 122: Validation loss=0.2212, Validation accuracy=0.9786
Epoch 123: Validation loss=0.2205, Validation accuracy=0.9792
Epoch 124: Validation loss=0.2216, Validation accuracy=0.9797
Epoch 125: Validation loss=0.2230, Validation accuracy=0.9802
Epoch 126: Validation loss=0.2247, Validation accuracy=0.9802
Epoch 127: Validation loss=0.2249, Validation accuracy=0.9802
Epoch 128: Validation loss=0.2725, Validation accuracy=0.9698
Epoch 129: Validation loss=0.2176, Validation accuracy=0.9807
Epoch 130: Validation loss=0.2116, Validation accuracy=0.9812
Epoch 131: Validation loss=0.2017, Validation accuracy=0.9797
Epoch 132: Validation loss=0.2687, Validation accuracy=0.9750
Epoch 133: Validation loss=0.1987, Validation accuracy=0.9797
Epoch 134: Validation loss=0.2255, Validation accuracy=0.9792
Epoch 135: Validation loss=0.2332, Validation accuracy=0.9766
Epoch 136: Validation loss=0.1979, Validation accuracy=0.9802
